WORDS,FREQ.,,"""FREQ IS THE TOTAL NO OF OCCURENCES OF THAT WORD ACROSS ALL CLUSTERS FOR ALL ARTICLES."""
,,,
thorns,4,,
jealously,1,,
generosity,1,,
vehicle,1,,
scum,3,,
town,16,,
desperation,1,,
lazarus,1,,
strife,1,,
access,1,,
preacher,26,,
sacrifice,13,,
charge,1,,
isaac,33,,
elect,1,,
mile,2,,
lovers,2,,
capacity,1,,
timothy,31,,
dew,1,,
philosophers,1,,
hurry,3,,
hollowness,1,,
sham,1,,
contrast,1,,
routine,1,,
moses,48,,
woman,31,,
good,97,,
haman,7,,
kings,15,,
spokesman,9,,
millions,2,,
contrary,2,,
bathroom,1,,
nile,1,,
calvin,1,,
refuge,10,,
clip,1,,
chicken,2,,
fragrance,3,,
v,5,,
adamic,1,,
hearts,264,,
partner,10,,
co,2,,
calvary,51,,
bribery,1,,
nlt,2,,
subject,1,,
picture,51,,
speed,12,,
lb,3,,
joppa,1,,
bulb,1,,
core,2,,
wolves,1,,
vilest,1,,
communities,1,,
external,3,,
village,2,,
shell,1,,
events,1,,
dearest,1,,
payments,1,,
perfect,3,,
applause,2,,
mother,80,,
inheritance,4,,
liberty,4,,
gritty,1,,
discipline,31,,
person,26,,
corrections,2,,
depths,11,,
debt,8,,
captives,2,,
mess,1,,
qualities,2,,
murmur,2,,
mortgage,1,,
glory,42,,
need,117,,
cleverer,1,,
dust,15,,
price,10,,
ark,2,,
system,1,,
sex,1,,
lo,1,,
lie,4,,
punishment,3,,
porridge,1,,
discipleship,11,,
intellect,4,,
jabin,1,,
samson,5,,
mammon,3,,
universe,25,,
rebellion,20,,
swarm,1,,
third,1,,
infants,2,,
furniture,1,,
element,1,,
penalty,1,,
joel,3,,
sound,9,,
advocate,3,,
dangers,12,,
joint,2,,
breath,2,,
tenths,1,,
wanton,1,,
weather,3,,
grudge,7,,
goat,1,,
instruction,1,,
oil,28,,
isa,12,,
pride,12,,
pillars,1,,
match,2,,
relation,1,,
lustre,1,,
course,45,,
opinion,2,,
souls,3,,
sky,1,,
quality,21,,
press,2,,
sisters,60,,
masterpieces,1,,
tev,1,,
foetus,1,,
externals,2,,
asthma,1,,
bulbs,1,,
facts,12,,
founder,1,,
armenians,2,,
crudeness,1,,
ambition,17,,
space,2,,
lion,5,,
uncle,2,,
gladness,13,,
rome,1,,
criminals,1,,
half,4,,
daniels,5,,
rock,1,,
step,76,,
ways,40,,
cold,7,,
conception,2,,
ability,6,,
religion,2,,
cornerstone,1,,
martyr,1,,
deliverer,8,,
sermon,2,,
want,2,,
worldliness,20,,
debts,2,,
idea,3,,
fro,1,,
telephone,1,,
kind,3,,
iv,1,,
creditor,4,,
trap,9,,
feast,2,,
birthright,6,,
headway,1,,
nurse,4,,
representative,1,,
response,4,,
latter,2,,
compassion,4,,
